"Service Request #","Date Request Opened","Request Status","SLA","Service Group","Agency Responsible","Request Name","Street Address","Latitude","Longitude","Location","TNI Area Description"
"22-00010964","2022 Feb 07 03:26:11 PM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","16113 NEWASA LN","38.66756568","-76.99916623","    (38.66756568, -76.99916623)","County Address"
"22-00010963","2022 Feb 07 03:26:05 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","HARRY S TRUMAN DR & NEW ORCHARD DR",,,,"County Address"
"22-00010961","2022 Feb 07 03:23:56 PM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","700 EUCLA DR","38.66749986","-76.9969779","    (38.66749986, -76.9969779)","County Address"
"22-00010960","2022 Feb 07 03:22:51 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","BRANCH AVE & IVERSON ST",,,,"County Address"
"22-00010959","2022 Feb 07 03:21:42 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","HARRY S TRUMAN DR & WOODLAWN BLVD",,,,"County Address"
"22-00010938","2022 Feb 07 02:38:36 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","WALKER MILL RD & LONGLEAF RD",,,,"County Address"
"22-00010927","2022 Feb 07 02:26:13 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","7712 ALLENTOWN RD","38.7826709","-76.94225383","    (38.7826709, -76.94225383)","County Address"
"22-00010926","2022 Feb 07 02:26:06 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","BOCK RD & TUCKER RD",,,,"County Address"
"22-00010914","2022 Feb 07 02:04:18 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","5300 CHURCH RD",,,,"County Address"
"22-00010913","2022 Feb 07 02:02:15 PM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","16510 BEALLE HILL RD","38.66213267","-76.99273571","    (38.66213267, -76.99273571)","County Address"
"22-00010912","2022 Feb 07 02:01:54 PM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","ACCOKEEK RD & MCKENDREE RD",,,,"County Address"
"22-00010898","2022 Feb 07 01:49:00 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","WOODMORE RD & PARKSIDE DR",,,,"County Address"
"22-00010887","2022 Feb 07 01:43:47 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","MUIRKIRK RD & MUIRKIRK MEADOWS DR",,,,"County Address"
"22-00010866","2022 Feb 07 01:23:22 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","MITCHELLVILLE RD & MOUNT OAK RD",,,,"County Address"
"22-00010845","2022 Feb 07 01:00:13 PM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","CALVERTON BLVD & CHRISTINE DR",,,,"County Address"
"22-00010830","2022 Feb 07 12:47:00 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","BOCK RD & KINGSWAY RD",,,,"County Address"
"22-00010825","2022 Feb 07 12:35:12 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","10900 TRAFTON DR","38.89667997","-76.81424331","    (38.89667997, -76.81424331)","County Address"
"22-00010823","2022 Feb 07 12:33:47 PM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","104 ARAGONA DR","38.77884379","-77.00229694","    (38.77884379, -77.00229694)","County Address"
"22-00010818","2022 Feb 07 12:30:14 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","28TH AVE & SAINT CLAIR DR",,,,"County Address"
"22-00010791","2022 Feb 07 11:58:01 AM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","9861 CHERRY HILL RD",,,,"County Address"
"22-00010788","2022 Feb 07 11:56:26 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","BRINKLEY RD & GLEN ROCK AVE",,,,"County Address"
"22-00010782","2022 Feb 07 11:41:39 AM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","104 Norair Ave","38.89176091","-76.85998083","    (38.89176091, -76.85998083)","County Address"
"22-00010779","2022 Feb 07 11:35:49 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","SILVER HILL RD & OLD SILVER HILL RD",,,,"County Address"
"22-00010762","2022 Feb 07 11:10:02 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","DYSON RD & OWENS WAY",,,,"County Address"
"22-00010755","2022 Feb 07 11:05:55 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","6400 AUTH RD",,,,"County Address"
"22-00010752","2022 Feb 07 11:04:37 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","AUTH RD & BARTO AVE",,,,"County Address"
"22-00010732","2022 Feb 07 10:21:07 AM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","4604 BRINKLEY RD","38.80145444","-76.92830151","    (38.80145444, -76.92830151)","County Address"
"22-00010726","2022 Feb 07 10:10:55 AM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","DYSON RD & BRANDYWINE RD",,,,"County Address"
"22-00010709","2022 Feb 07 09:47:49 AM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","DYSON RD & HAMPTON FARM LN",,,,"County Address"
"22-00010690","2022 Feb 07 09:32:58 AM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","7708 WILLOW HILL DR","38.89706951","-76.87170781","    (38.89706951, -76.87170781)","County Address"
"22-00010688","2022 Feb 07 09:32:03 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","95 SOUTH DR",,,,"County Address"
"22-00010686","2022 Feb 07 09:29:57 AM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","400 NALLEY RD","38.89564923","-76.87708996","    (38.89564923, -76.87708996)","County Address"
"22-00010684","2022 Feb 07 09:27:03 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","ADDISON RD S & WILBURN DR",,,,"County Address"
"22-00010668","2022 Feb 07 08:47:11 AM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","4428 23RD PKWY","38.82880777","-76.955335","    (38.82880777, -76.955335)","Hillcrest Heights / Marlow Heights"
"22-00010649","2022 Feb 07 08:17:05 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","AUTH RD & ALLENTOWN RD",,,,"County Address"
"22-00010639","2022 Feb 07 08:08:42 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","HENDERSON WAY & HILL WAY",,,,"County Address"
"22-00010631","2022 Feb 07 07:53:38 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","OLD BALTIMORE PIKE & CONWAY RD",,,,"County Address"
"22-00010628","2022 Feb 07 07:50:00 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","MUIRKIRK RD & ELLINGTON DR",,,,"County Address"
"22-00010624","2022 Feb 07 07:33:56 AM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","8450 ARDWICK ARDMORE RD","38.94077558","-76.8625369","    (38.94077558, -76.8625369)","County Address"
"22-00010620","2022 Feb 07 07:20:17 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","11300 EVANS TRL",,,,"County Address"
"22-00010616","2022 Feb 07 07:01:11 AM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","3450 HUBBARD RD",,,,"County Address"
"22-00010611","2022 Feb 07 06:31:25 AM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","10828 OLD INDIAN HEAD RD","38.7399601","-76.81264484","    (38.7399601, -76.81264484)","County Address"
"22-00010600","2022 Feb 07 04:09:40 AM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","16500 BEALLE HILL RD","38.66293798","-76.99246109","    (38.66293798, -76.99246109)","County Address"
"22-00010588","2022 Feb 06 05:43:09 PM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","5245 CAMPUS DR",,,,"County Address"
"22-00010587","2022 Feb 06 05:03:23 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","OLD BRANCH AVE & ALLENTOWN RD",,,,"County Address"
"22-00010585","2022 Feb 06 03:52:24 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","15700 POINTER RIDGE DR",,,,"County Address"
"22-00010583","2022 Feb 06 02:47:07 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","15914 BEALLE HILL RD","38.67035751","-76.99123344","    (38.67035751, -76.99123344)","County Address"
"22-00010582","2022 Feb 06 02:23:38 PM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","15619 LIVINGSTON RD","38.67039055","-76.9956995","    (38.67039055, -76.9956995)","County Address"
"22-00010575","2022 Feb 06 01:53:45 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","7007 BOCK RD","38.79172625","-76.97457979","    (38.79172625, -76.97457979)","County Address"
"22-00010573","2022 Feb 06 01:14:06 PM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","1523 GOLF COURSE DR","38.91237185","-76.81922828","    (38.91237185, -76.81922828)","County Address"
"22-00010570","2022 Feb 06 12:35:06 PM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","7196 OLD CRAIN HWY",,,,"County Address"
"22-00010569","2022 Feb 06 12:20:46 PM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","8250 HEATHERMORE BLVD",,,,"County Address"
"22-00010562","2022 Feb 06 10:19:40 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","2312 MITCHELLVILLE RD","38.92143123","-76.73230734","    (38.92143123, -76.73230734)","County Address"
"22-00010560","2022 Feb 06 09:58:29 AM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","STONEY CREEK LN & DYSON RD",,,,"County Address"
"22-00010556","2022 Feb 06 08:42:03 AM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","8600 DYSON RD","38.71884099","-76.85890943","    (38.71884099, -76.85890943)","County Address"
"22-00010537","2022 Feb 05 07:30:03 PM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","8000 DYSON RD","38.70731248","-76.86947775","    (38.70731248, -76.86947775)","County Address"
"22-00010529","2022 Feb 05 05:16:33 PM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","10916 TRAFTON DR","38.89494503","-76.81367091","    (38.89494503, -76.81367091)","County Address"
"22-00010528","2022 Feb 05 04:23:43 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","7050 ALLENTOWN RD","38.7925413","-76.9265947","    (38.7925413, -76.9265947)","County Address"
"22-00010527","2022 Feb 05 03:57:58 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","7050 ALLENTOWN RD","38.7925413","-76.9265947","    (38.7925413, -76.9265947)","County Address"
"22-00010524","2022 Feb 05 03:45:11 PM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","8702 ROYAL RIDGE LN","39.06419295","-76.8538492","    (39.06419295, -76.8538492)","County Address"
"22-00010521","2022 Feb 05 03:16:46 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","2600 IVERSON ST","38.83751748","-76.95224536","    (38.83751748, -76.95224536)","Hillcrest Heights / Marlow Heights"
"22-00010515","2022 Feb 05 02:25:39 PM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","8328 WOODYARD RD","38.77481664","-76.86931869","    (38.77481664, -76.86931869)","County Address"
"22-00010514","2022 Feb 05 02:22:38 PM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","17800 HORSEHEAD RD","38.6452267","-76.76992626","    (38.6452267, -76.76992626)","County Address"
"22-00010513","2022 Feb 05 02:16:49 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","3731 OLD SILVER HILL RD",,,,"County Address"
"22-00010510","2022 Feb 05 01:51:50 PM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","8339 WOODYARD RD",,,,"County Address"
"22-00010458","2022 Feb 05 10:26:17 AM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","RHODE ISLAND AVE & LEXINGTON AVE",,,,"County Address"
"22-00010455","2022 Feb 05 09:12:05 AM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","MUIRKIRK RD & SNOWDEN WOODS RD",,,,"County Address"
"22-00010454","2022 Feb 05 09:10:01 AM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","MUIRKIRK RD & HERMOSA DR",,,,"County Address"
"22-00010453","2022 Feb 05 09:06:59 AM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","MUIRKIRK RD & APACHE TEARS CIR",,,,"County Address"
"22-00010452","2022 Feb 05 09:05:26 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","MUIRKIRK RD & IVORY FASHION CT",,,,"County Address"
"22-00010451","2022 Feb 05 08:45:03 AM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","15267 LEELAND RD",,,,"County Address"
"22-00010445","2022 Feb 05 04:03:41 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","7209 OLD BRANCH AVE","38.79052262","-76.89894519","    (38.79052262, -76.89894519)","County Address"
